campaign_id,client_segment,vertical,primary_channel,geo_cluster,budget,spend,avg_roas,target_roas,avg_cpi,target_cpi,d7_retention,avg_win_rate,opportunity_score,estimated_missing_opportunity,primary_driver,next_action,confidence
CMP016,Advertiser portfolio 16,Subscription wellness,Retargeting,LATAM test,245000,232166,1.63,1.18,4.32,4.77,0.341,0.253,82.5,99146,creative fatigue,Rotate concept family and isolate winning creative dimensions,Medium
CMP006,Advertiser portfolio 06,Retail marketplace,Retargeting,LATAM test,495000,461651,2.28,1.58,5.17,6.01,0.401,0.377,81.3,156346,measurement risk,Fix QA owner path before client readout,Medium
CMP012,Advertiser portfolio 12,Food delivery,Mobile UA,APAC growth,95000,87498,1.37,1.43,2.98,3.0,0.3,0.184,80.5,54671,creative fatigue,Rotate concept family and isolate winning creative dimensions,Medium
CMP015,Advertiser portfolio 15,Retail marketplace,Retargeting,APAC growth,295000,284092,2.55,1.87,6.84,7.42,0.309,0.363,80.1,108599,creative fatigue,Rotate concept family and isolate winning creative dimensions,Medium
CMP017,Advertiser portfolio 17,Travel booking,Influencer assist,US tier 1,425000,402362,1.77,1.9,5.69,5.88,0.441,0.409,80.0,157034,creative fatigue,Rotate concept family and isolate winning creative dimensions,High
CMP002,Advertiser portfolio 02,Retail marketplace,Mobile UA,US tier 1,230000,220410,1.81,1.51,6.28,6.94,0.422,0.211,79.4,92533,measurement risk,Fix QA owner path before client readout,Medium
CMP008,Advertiser portfolio 08,Food delivery,Mobile UA,APAC growth,305000,287997,1.53,1.64,3.27,3.38,0.311,0.212,79.2,115505,creative fatigue,Rotate concept family and isolate winning creative dimensions,High
CMP014,Advertiser portfolio 14,Fintech app,CTV assist,APAC growth,65000,62688,1.18,1.18,5.27,5.54,0.247,0.291,79.1,46729,measurement risk,Fix QA owner path before client readout,Medium
CMP007,Advertiser portfolio 07,Fintech app,Retargeting,EMEA growth,245000,231140,2.03,1.51,2.27,2.28,0.305,0.333,78.7,91671,creative fatigue,Rotate concept family and isolate winning creative dimensions,Medium
CMP013,Advertiser portfolio 13,Retail marketplace,Mobile UA,LATAM test,285000,263627,1.3,1.28,5.73,6.41,0.24,0.305,78.0,90696,creative fatigue,Rotate concept family and isolate winning creative dimensions,High
CMP010,Advertiser portfolio 10,Food delivery,Mobile UA,US tier 1,370000,353220,2.03,2.05,2.88,3.13,0.425,0.202,77.7,120611,creative fatigue,Rotate concept family and isolate winning creative dimensions,Medium
CMP003,Advertiser portfolio 03,Food delivery,Mobile UA,US tier 1,440000,413213,2.22,1.71,5.73,6.74,0.457,0.208,77.4,124980,creative fatigue,Rotate concept family and isolate winning creative dimensions,Medium
CMP005,Advertiser portfolio 05,Mobile games,Mobile UA,LATAM test,195000,174184,2.15,1.83,2.74,2.91,0.398,0.37,77.3,71992,measurement risk,Fix QA owner path before client readout,Medium
CMP018,Advertiser portfolio 18,Travel booking,CTV assist,LATAM test,70000,65650,1.96,1.91,7.44,8.08,0.427,0.335,75.8,45578,measurement risk,Fix QA owner path before client readout,Medium
CMP009,Advertiser portfolio 09,Mobile games,Influencer assist,EMEA growth,390000,366779,2.02,2.0,1.68,1.87,0.521,0.417,75.6,112450,creative fatigue,Rotate concept family and isolate winning creative dimensions,High
CMP001,Advertiser portfolio 01,Fintech app,Mobile UA,LATAM test,490000,461359,1.63,1.49,5.68,5.49,0.23,0.26,74.3,129042,measurement risk,Fix QA owner path before client readout,Medium
CMP004,Advertiser portfolio 04,Mobile games,CTV assist,EMEA growth,375000,363927,1.68,1.97,4.42,4.45,0.414,0.266,74.1,132039,creative fatigue,Rotate concept family and isolate winning creative dimensions,High
CMP011,Advertiser portfolio 11,Fintech app,Mobile UA,US tier 1,250000,233811,1.88,1.72,8.31,8.23,0.236,0.199,74.0,77870,measurement risk,Fix QA owner path before client readout,Medium
